"Bank", "Banco"
"Select your bank", "Seleccionar banco"
"Use Production Environment", "Entorno Real de Trabajo"
"Select 'Yes' to use the production environment of your selected bank or 'No' to use the test environment.", "Selecciona 'Sí' para utilizar el entorno real del banco seleccionado, y 'No' para utilizar el entorno de pruebas."
"Use default", "Por defecto"
"Select the correct service for your virtual POS terminal", "Seleccionar el servicio adecuado para tu TPV virtual"
"-- Select your bank --", "-- Seleccionar banco --"
"Check for bank email notification", "Comprobar correo de notificación del banco"
"Checks the specified mailbox to make sure the notification email was received from the bank for each successful transaction.", "Para cada transacción realizada con éxito, comprobar en el buzón de correo especificado que se ha recibido el correo de notificación del banco."
"Frequency", "Frecuencia"
"Select the frequency with which you would like to check for notification emails.", "Eligir la frecuencia de la comprobación de los correos de notificación."
"Number of times to check", "Número de intentos"
"Enter the number of times to check for the notification email before giving up.", "Introduce el número máximo de reintentos para la búsqueda del correo de notificación."
"Status of order if no email found", "Estado del pedido si no se encuentra el correo de notificación."
"Enter the status to set the order to if no email is found.", "Introduce el estado de pedido que usar si no se encuentra el correo de notificación."
"Protocol", "Protocolo"
"Choose the protocol used to access the mailbox where bank notification emails are received.", "Elige el protocolo para acceder al buzón de correo donde se reciben los correos de notificación."
"Port", "Puerto"
"Enter the port on which to access the mailbox where bank notification emails are received.", "Introduce la puerta para acceder al buzón de correo donde se reciben los correos de notificación."
"Host", "Host"
"Enter the host IP or address of the mailbox where bank notification emails are received.", "Introduce la IP o dirección del host del buzón de correo donde se reciben los correos de notificación."
"Username", "Usuario"
"Enter username/email address required to access the mailbox where bank notification emails are received.", "Introduce el nombre de usuario / la dirección de correo para acceder al buzón de correo donde se reciben los correos de notificación."
"Password", "Contraseña"
"Enter password required to access the mailbox where bank notification emails are received.", "Introduce la contraseña para acceder al buzón de correo donde se reciben los correos de notificación."
"Security", "Seguridad"
"Select a security option for accessing the mailbox where bank notification emails are received.", "Elige la opción de seguridad para acceder al buzón de correo donde se reciben los correos de notificación."
"Every 5 minutes", "Cada 5 minutos"
"Every 10 minutes", "Cada 10 minutos"
"Every 20 minutes", "Cada 20 minutos"
"Every 30 minutes", "Cada 30 minutos"
"Every hour", "Cada hora"
"Email notification is no longer required for this order.", "Ya no se requiere el correo de notificación para este pedido."
"Unencrypted", "No cifrado"
"Test Connection", "Probar conexión"
"Allowed sender email addresses/domains", "Direcciones de correo/dominios de remitente permitidos"
"Enter the list of possible email addresses or domains from which you expect to receive notification emails. Separate multiple email addresses with commas.", "Introduce una lista de direcciones de correo o dominios desde los que esperas recibir los correos de notificación. Separa las direcciones/los dominios por comas."
"Unable to connect to mail server. ", "No se ha podido conectar al servidor de correos. "
"Servired - Email Notification Not Received", "Servired - Correo de notificación no recibido"
"Gave up looking for Servired email notification for order %s after %s attempt(s).", "Se ha dejado de buscar el correo de notificación de Servired del pedido %s después de %s intentos de encontrarlo."
"You will be redirected to the ServiRed website in a few seconds.", "Será redirigido a la pasarela de pago en unos segundos."
"Initiated capture of payment details for Order with Interactiv4 ServiredPro. Servired reference for order is %s.", "Se ha iniciado la captura de los detalles de pago para el pedido usanod Interactiv4 ServiredPro. La referencia de Servired para el pedido es %s."
